barangay,NDBI,nighttime_lights,omega_500,cooling_capacity,canyon_effect,microclimate_mod,dtr_proxy
Macasandig,-0.2342172468333367,9.577048052478546,-0.1675092428922653,-3915.1353962205626,575.0515028296586,1.2383811722296445,0.119720458984375
Mambuaya,-0.3298526330043408,0.9073626720665204,-0.1675092428922653,-221.8929644762694,13.982789793959965,-6.700096652989999,0.119720458984375
Nazareth,-0.1544961839491318,23.99255326715368,-0.1675092428922653,-15706.882330101836,4926.101825334767,0.9784330810862352,0.119720458984375
Pagalungan,-0.3291918139196437,0.4234172083441076,-0.1675092428922653,-134.29461665424466,10.196747304999802,-2.965018320298746,0.119720458984375
Pagatpat,-0.2820725544272901,1.0919760770603606,-0.1675092428922653,-219.16709840932023,22.930039566795116,1.27287654337758,0.119720458984375
Patag,-0.2237457576863834,6.967459482151282,-0.1675089424072593,-10757.822399179378,1246.5883874721965,1.2085189102668443,0.1197900276007395
Pigsag-an,-0.3331509510045036,0.2229467051356384,-0.1900718653124151,-27.25668067541457,2.0287039697179474,-22.70323963658589,0.2039644941557412
Puerto,-0.3276939416212472,3.1347977360944848,-0.1674538998728441,-318.26289037391746,271.47114492002487,-10.353664086208369,0.1325335352082675
Puntod,-0.0871016837744127,24.497678365956983,-0.1672650958573031,-13283.653097169994,5956.322526027644,0.8130704151444947,0.1762456468314219
San Simon,-0.2481606549968244,0.6506205834538252,-0.1675092428922653,-82.50519500406149,11.906542975781914,1.0642696707339103,0.119720458984375
Tablon,-0.3102761822769685,3.6022415495292504,-0.1675092428922653,-1015.5327531564468,352.76389870494074,-10.494120929912272,0.119720458984375
Taglimao,-0.3398396003807353,0.3845276960124323,-0.1675092428922653,-61.85908988628631,3.870373035371265,-5.454859294575678,0.119720458984375
Tagpangi,-0.3549807060923892,0.3803322799063267,-0.1675092428922653,-143.2751739286949,7.901660116569332,-12.836391426146726,0.119720458984375
Tignapoloan,-0.3482312597570406,0.3904928045910035,-0.1675092428922653,-31.8090231975115,2.5090229245667244,-56.09183737238746,0.119720458984375
